epoch,categorical_accuracy,loss,lr,val_1-shot_10-way_acc,val_loss
1,0.8577812499999997,0.46598056849092245,3e-05,0.94575,0.1594756205099111
2,0.8645937499999999,0.43402153339236976,3e-05,0.9475,0.1550642948606037
3,0.8674687500000003,0.41696608836762605,3e-05,0.948375,0.14990629022415305
4,0.8690312499999991,0.41698546869680286,3e-05,0.95225,0.14214349996385864
5,0.873124999999999,0.4085006431862712,3e-05,0.949375,0.15037142550932914
6,0.8804687499999987,0.391087962705642,3e-05,0.949875,0.14569841514981818
7,0.8772499999999995,0.394738751873374,3e-05,0.949,0.1574394599729567
8,0.875437500000001,0.40274984316900375,3e-05,0.95125,0.14253510030372127
