epoch,categorical_accuracy,loss,lr,val_1-shot_10-way_acc,val_loss
1,0.46815625,8.403368491232396,0.0001,0.7485,2.836953772477104
2,0.5424687500000005,4.9843617983162405,0.0001,0.761125,2.0437834107367308
3,0.5723750000000007,3.5513892543315886,0.0001,0.7885,1.3199668553829826
4,0.58875,2.642446133494377,0.0001,0.795625,1.1244380637049154
5,0.6124999999999998,2.008539775758982,0.0001,0.804375,0.8283242199751839
6,0.6267500000000008,1.6127932293713092,0.0001,0.814,0.6514842785394285
7,0.6456562499999999,1.330162206441164,0.0001,0.829,0.5422955116204684
8,0.6529687499999993,1.1948528045415878,0.0001,0.844875,0.4772643072786741
9,0.6721875000000003,1.1184317170828582,0.0001,0.84475,0.4499266530387104
10,0.6755937500000003,1.091082946844399,0.0001,0.841375,0.4677606512675993
11,0.6862812499999995,1.0683524258434773,0.0001,0.8485,0.4386818359768949
12,0.688,1.0558641482889652,0.0001,0.84625,0.4436911329248687
13,0.6875312500000001,1.0476976062357426,0.0001,0.820625,0.5284245938109234
14,0.7009687500000006,1.0134044724330307,0.0001,0.8505,0.44067802974954245
15,0.7073749999999993,0.9862104785814881,0.0001,0.852375,0.43921156469266864
16,0.7088750000000004,0.9880162776261568,0.0001,0.84575,0.4412347205122933
17,0.7134375,0.9580369422957301,0.0001,0.85975,0.4137856513436418
18,0.7211875000000006,0.9389171995967627,0.0001,0.866125,0.4033792538254056
19,0.7249062500000001,0.9228627563267946,0.0001,0.865125,0.39857109090080484
20,0.7239374999999998,0.9135599451139569,0.0001,0.86975,0.38785719075240194
