epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.3995555555555556,43.91125885327657,0.0001,0.6546666666666666,20.514201205980054
2,0.4280000000000004,34.539939114252725,0.0001,0.6533333333333333,17.850125064354327
3,0.4602222222222221,30.687692902882894,0.0001,0.6966666666666667,13.909135252579414
4,0.45933333333333365,27.17345946073532,0.0001,0.7193333333333334,10.25743851455547
5,0.49066666666666675,24.888164962132773,0.0001,0.7046666666666667,10.680542407536663
6,0.48644444444444446,22.16589698990186,0.0001,0.728,9.852380779115366
7,0.5117777777777777,19.870401391188302,0.0001,0.7386666666666667,9.182242784549658
8,0.5113333333333328,18.52871741692225,0.0001,0.7193333333333334,9.096721178215583
