epoch,categorical_accuracy,loss,lr,val_1-shot_5-way_acc,val_loss
1,0.07953333333333333,21.718173956081596,0.001,0.248,6.880250544994803
2,0.08573333333333333,3.9580341689650425,0.001,0.25,4.502357404085356
3,0.09706666666666669,3.7765443707997655,0.001,0.27,3.6475741924256257
4,0.10983333333333328,3.68124814622904,0.001,0.258,3.6962519697005107
5,0.12056666666666667,3.604493346589708,0.001,0.294,3.097035826563596
6,0.13123333333333334,3.5505517806059976,0.001,0.266,3.201956234954711
7,0.14833333333333337,3.481047608501017,0.001,0.332,2.9811399782474584
8,0.14873333333333336,3.4502211641823566,0.001,0.284,2.968400741487586
9,0.1607333333333333,3.391002533713872,0.001,0.304,2.6284284547235717
10,0.1655666666666666,3.370556334024578,0.001,0.344,2.6419294605157355
11,0.1697666666666666,3.3187738461437557,0.001,0.328,2.7494808153016046
12,0.17463333333333333,3.307560193729884,0.001,0.354,2.700028999023177
13,0.1797666666666667,3.2792060105951144,0.001,0.354,2.477796095823316
14,0.17980000000000004,3.280834504767318,0.001,0.342,2.4984216838162814
15,0.1910666666666666,3.229430488575368,0.001,0.36,2.510431757672136
16,0.18866666666666668,3.229995100903939,0.001,0.376,2.357232958896548
17,0.19209999999999985,3.2076120025362993,0.001,0.396,2.2960751380633595
18,0.19606666666666667,3.184016290205888,0.001,0.35,2.3956449843407954
19,0.2003,3.176430968393464,0.001,0.356,2.443480267272269
20,0.20329999999999995,3.1587055552821646,0.001,0.402,2.3105095992783506
21,0.2094333333333334,3.1392541823917397,0.001,0.38,2.6342735201467127
22,0.20930000000000004,3.120252804883941,0.001,0.35,2.4565179314294703
23,0.20603333333333332,3.136915960775639,0.001,0.388,2.3290334877329544
24,0.2151666666666667,3.104417826595078,0.001,0.352,2.6045717270656974
25,0.2139333333333333,3.0871989779288054,0.001,0.418,2.5439837596722
26,0.21916666666666676,3.0596480943682014,0.001,0.368,2.2406444067565756
27,0.22249999999999986,3.064810288055531,0.001,0.394,2.5689059261601375
28,0.2213999999999999,3.0443808768091163,0.001,0.382,2.172991065844287
29,0.22476666666666667,3.0430174845096682,0.001,0.412,2.363120667984823
30,0.22770000000000004,3.0376456947867676,0.001,0.404,2.333671155208011
31,0.2284333333333334,3.020737694391595,0.001,0.388,2.3497043828914754
