epoch,categorical_accuracy,loss,lr,val_1-shot_10-way_acc,val_loss
1,0.7001666666666675,222.24518280684947,0.0001,0.79625,17.08616948138362
2,0.5252916666666647,10.318298139572143,0.0001,0.631375,1.7182925592502578
3,0.45662500000000095,2.1612853924930095,0.0001,0.68525,0.9545333765819669
4,0.5272083333333346,1.6055729965120553,0.0001,0.743625,0.7550974028930068
5,0.5849583333333342,1.379941411241889,0.0001,0.787875,0.6300033837370574
6,0.6312500000000011,1.211622573323548,0.0001,0.79575,0.6089782050764189
7,0.6629583333333346,1.1039254071563482,0.0001,0.82875,0.5150715091160964
8,0.6868750000000011,1.0331838864833116,0.0001,0.8395,0.4770263934088871
9,0.7092916666666668,0.9658119503036141,0.0001,0.849875,0.4385247344104573
10,0.7257500000000001,0.8998919277638197,0.0001,0.856125,0.4320866442960687
11,0.7463333333333344,0.8418889742344617,0.0001,0.8595,0.4002733746613376
12,0.749125,0.8415953739732503,0.0001,0.87175,0.3776126688136719
13,0.7606666666666666,0.7845365526899696,0.0001,0.882,0.348441139467177
14,0.7740833333333326,0.7397414408996701,0.0001,0.881375,0.3428401793621015
15,0.7780416666666671,0.7309101471118629,0.0001,0.885625,0.3362067390943412
16,0.784874999999999,0.7113991941511632,0.0001,0.877,0.3500011935766088
17,0.7805833333333324,0.7174219018220902,0.0001,0.888625,0.3350605294213165
18,0.7851666666666652,0.7013656099885702,0.0001,0.88675,0.33707055568571376
19,0.7943749999999984,0.6784473910927773,0.0001,0.8875,0.3255959620757494
20,0.7923333333333323,0.6804833616502584,0.0001,0.893125,0.31427061387279537
21,0.8010416666666668,0.6473348833248019,0.0001,0.896375,0.30844551588175817
22,0.7995833333333323,0.6567720899358391,0.0001,0.899375,0.3051418712220038
23,0.8080833333333323,0.6317308528721333,0.0001,0.8985,0.2920114415109856
24,0.8250833333333314,0.5656899410486221,6e-05,0.913,0.2484260702173924
25,0.833708333333331,0.5277840435598046,6e-05,0.91475,0.255612205301295
26,0.8417499999999977,0.5083306978922337,6e-05,0.918625,0.2445070745892008
27,0.8409999999999974,0.5109155317023396,6e-05,0.919625,0.2343565305089578
28,0.8492083333333312,0.48860387013759465,6e-05,0.921,0.23549320438192808
29,0.8500833333333313,0.4845205448800698,6e-05,0.919,0.2472649484782596
30,0.8510833333333316,0.47008796147536486,6e-05,0.921125,0.2219638887513429
31,0.8558333333333299,0.4591149172373116,6e-05,0.92225,0.22644135677088342
32,0.853666666666664,0.46236270409077407,6e-05,0.919875,0.237775677100326
33,0.8591666666666649,0.4495364282093942,6e-05,0.91925,0.23419054541191145
34,0.857124999999997,0.45392319419421256,6e-05,0.9315,0.20685403736904845
35,0.8648333333333305,0.44053002589847895,6e-05,0.93025,0.2042847610793251
36,0.8644999999999977,0.4425979233067483,6e-05,0.933,0.19735618928372786
37,0.8653333333333296,0.4312091448623687,6e-05,0.932,0.19948302630757098
38,0.8695416666666632,0.41655770817771554,6e-05,0.92825,0.21068954243492044
39,0.8674166666666626,0.4240685697179288,6e-05,0.929125,0.20318209315941205
40,0.8705833333333302,0.40577396616339684,6e-05,0.9325,0.20241756069979602
41,0.866458333333328,0.41688773025758563,6e-05,0.933625,0.19753797356650465
42,0.8724166666666623,0.40583848785609006,6e-05,0.936125,0.18415061099629385
43,0.8689166666666622,0.4143321281950921,6e-05,0.931875,0.19690804313664556
44,0.8720833333333298,0.4046643759403378,6e-05,0.935375,0.19134607298481568
45,0.876333333333328,0.3938528215745464,6e-05,0.93675,0.19063052691093618
46,0.8769166666666621,0.38993525377009064,6e-05,0.9335,0.19432806347213044
47,0.8794166666666632,0.39176149322185666,6e-05,0.931375,0.20748698176947072
48,0.886374999999996,0.3537052525486797,3.6e-05,0.94125,0.1688931034745474
49,0.8897916666666619,0.34694787886692213,3.6e-05,0.947375,0.1578848742867558
50,0.8885416666666615,0.34732483566738664,3.6e-05,0.94925,0.15765041636506794
